186,1,13/05/2026,2026,6D - VA,2,1,97.8,02,106,,,
186,1,13/05/2026,2026,6D - VA,2,1,98.6,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,2,109.2,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,2,108.1,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,3,136.6,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,3,137,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,4,122.9,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,4,123.3,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,5,107.7,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,5,107.6,02,106,,,
186,1,13/05/2026,2026,6D - VA,2,6,142.9,02,106,,,
186,1,13/05/2026,2026,6D - VA,2,6,142.8,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,7,118.2,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,7,117.7,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,8,105.5,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,8,105,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,9,153.7,02,106,,,
186,1,13/05/2026,2026,2D - MEJ,2,9,153.3,02,106,,,
186,1,13/05/2026,2026,6D - VA,2,10,128,02,106,,,
186,1,13/05/2026,2026,6D - VA,2,10,131.1,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,11,85.8,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,11,84.1,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,12,83,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,12,83.4,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,13,99,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,13,102.1,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,14,101.4,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,14,100.9,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,15,96.6,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,15,96.4,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,16,107.5,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,16,106.5,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,17,84.1,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,17,85,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,18,96.2,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,18,96.8,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,19,84.1,02,106,,,
187,1,13/05/2026,2026,2D - VQ,2,19,83.2,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,20,103,02,106,,,
187,1,13/05/2026,2026,2D - MEJ,2,20,105.8,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,21,104.4,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,21,102.8,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,22,91.7,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,22,91.6,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,23,85.9,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,23,85.1,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,24,115.4,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,24,116.3,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,25,81,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,25,82.3,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,26,86.2,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,26,87,02,106,,,
188,1,13/05/2026,2026,2D - MEJ,2,27,102.5,02,106,,,
188,1,13/05/2026,2026,2D - MEJ,2,27,102.9,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,28,97.5,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,28,97.3,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,29,90.3,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,29,90.9,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,30,86.8,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,30,86.9,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,31,101.3,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,31,102.1,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,32,102.9,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,32,102.8,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,33,88.4,02,106,,,
188,1,13/05/2026,2026,2D - VQ,2,33,87.3,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,34,101.5,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,34,103.5,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,35,120.4,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,35,120,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,36,112.2,02,106,,,
188,1,13/05/2026,2026,6D - NO,2,36,112.5,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,37,78.1,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,37,77.8,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,38,82.5,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,38,84,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,39,87.5,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,39,88.5,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,40,81.3,02,106,,,
189,1,13/05/2026,2026,2D - VQ,2,40,82.7,02,106,,,
190,1,13/05/2026,2026,2D - NT,2,41,79,02,106,,,
190,1,13/05/2026,2026,2D - NT,2,41,80.4,02,106,,,
190,1,13/05/2026,2026,2D - NT,2,42,84.9,02,106,,,
190,1,13/05/2026,2026,2D - NT,2,42,88.3,02,106,,,
